internal_company_name,industry,deal_source,employees,linkedin_employee_range,reviews,rating,locations,revenue,ebitda,fte,management_depth,has_exec_summary,has_recurring_kw,has_3plus_services,address_city,address_state,has_website,is_enriched,captarget_interest_type,old_score,quality_calculation_version,new_size,new_quality,new_market
GC Northwest LLC,Restoration Services,gp_partners,351,201-500 employees,1,5.0,1,0,5000000,0,"The owner's name is David Millar. The notes do not provide details about the management team beyond the owner. The presence of a strong #2, succession planning, or the owner's day-to-day involvement in operations are unknown and require further investigation.",true,true,false,Vancouver,WA,true,true,,94,v5,45,18,8
Peters Body & Fender,Auto Body Repair,gp_partners,121,51-200 employees,90,4.7,1,0,0,0,"Dave Laganella, an experienced mechanic, manages the shop. The notes do not mention any other key personnel or a strong #2 in place, so there is a potential owner dependency risk.",true,true,true,Oakland,NJ,true,true,,58,v5,40,21,8
Ray's Auto Body Crafters,Auto Body Repair,gp_partners,251,11-50 employees,63,4.7,1,0,0,0,"Management depth is not explicitly detailed in the notes. The notes mention I-CAR Pro Level-2 rated estimators, suggesting a focus on professional certifications and expertise. Further investigation is needed to understand the roles and responsibilities of key personnel and the company's succession planning.",true,false,true,Rapid City,SD,true,true,,64,v5,45,15,8
Onspring,Unspecified,gp_partners,112,51-200 employees,2,4.0,0,30000000,6000000,50,"Management depth details are not explicitly mentioned. Chad Kreimendahl is identified as the Founder and CEO, but information on the broader management team and succession planning is not available. It is important to assess the strength of the management team and the potential impact of owner departure.",true,false,true,Overland Park,KS,true,true,,94,v5,40,13,8
Bug Busters Pest Control Services,Pest Control,gp_partners,25,11-50 employees,622,4.8,0,0,0,0,"The notes do not provide details on management depth. It's unclear who runs the day-to-day operations besides the owner, and if there's a strong #2 or a team in place to support the business. Understanding the management structure is crucial for assessing the business's scalability and transition readiness.",true,true,true,Farmville,VA,true,true,,46,v5,27,25,8
Randy Hall,Vacation Rentals,gp_partners,60,51-200 employees,5,3.4,1,0,0,0,Randy Hall is the CEO. Ellie Geoffrey is the broker. No other management details provided.,true,true,true,Orange Beach,AL,true,true,,52,v5,34,17,8
JC Beal Construction,Construction,gp_partners,46,11-50 employees,18,4.8,0,0,0,0,"Management depth is not detailed in the notes. Further information is needed to understand the key personnel, their roles, and the succession plan in place.",true,true,true,Detroit,MI,true,true,,49,v5,27,21,11
Jerry's Auto Build,Collision and Autobody Repair,gp_partners,62,11-50 employees,31,4.6,1,1000000,100000,5,"The notes mention Jerry's Autorebuild, suggesting Jerry is a key figure in the company's management. The depth of the management team and whether there is a strong #2 or succession plan is not detailed.",true,false,true,Bainbridge Island,WA,true,true,,24,v5,34,15,8
Road Art Paint & Collision,Auto Body Repair,gp_partners,73,"501-1,000 employees",25,5.0,1,0,0,0,"Details regarding the management team and their roles within the company are not included. It's unclear who the key personnel are, their tenure, and whether there is a strong #2 in place to ensure continuity.",true,false,true,Mt Gilead,NC,true,true,,52,v5,34,15,8
"Davis Roofing, Inc.",Roofing,gp_partners,13,11-50 employees,61,4.8,811,0,0,0,"The notes mention Jon Walsh, presumably the owner, but do not provide information on the management team's depth, succession readiness, or key personnel beyond Mr. Walsh.",true,true,false,Lombard,IL,true,true,,64,v5,15,28,12
Civalgo,Unclear from notes,gp_partners,26,11-50 employees,8,4.5,0,0,0,0,Management depth is not mentioned in the provided notes.,true,true,false,Montreal,QC,true,true,,46,v5,27,18,8
Clinical Research Associates,Clinical Research,gp_partners,17,11-50 employees,38,4.7,0,0,0,,The notes do not provide information on the management depth.,true,true,false,Nashville,TN,true,true,,41,v5,21,18,11
Clinical Outcome Solutions,Healthcare,gp_partners,74,51-200 employees,1,3.0,0,0,0,,Unknown,true,false,false,Tucson,AZ,true,true,,53,v5,34,8,8
Green Shield Pest Control,Pest Control,gp_partners,,,204,5.0,0,0,0,0,"No information is provided about the management team or key personnel. Details regarding key personnel, their roles, and succession planning are needed for a comprehensive analysis.",true,true,true,Columbus,OH,true,true,,22,v5,14,25,11
The Pest Rangers Hazleton: Termite and Pest Control,Pest Control,gp_partners,12,1-10 employees,456,5.0,1,0,0,0,"The management depth is not explicitly mentioned in the provided text. Further information is needed to determine the key personnel, their roles, and the succession readiness of the company.",true,true,true,Hazleton,PA,true,true,,34,v5,15,25,8
Build Right Roofing & Construction,Roofing & Construction,gp_partners,10,11-50 employees,461,5.0,0,0,0,0,Unknown,true,true,true,Rapid City,SD,true,true,,34,v5,15,25,8
The Heart Institute of East Texas,Healthcare,gp_partners,39,51-200 employees,89,4.2,1,0,0,0,"The provided notes contain no information about the management team, key personnel, or the organizational structure of the Heart Institute.",true,false,true,Lufkin,TX,true,true,,44,v5,27,13,8
Gold Coast Auto Body,Collision Repair / Auto Body,gp_partners,21,11-50 employees,777,4.8,1,1,1,1,"Management depth is not explicitly detailed, but Dominic Martino appears to be a key figure, possibly the owner or a senior manager. The presence of a representative suggests they may have external advisors assisting with strategic decisions.",true,false,false,Chicago,IL,true,true,,29,v5,21,16,11
LiveField,Construction Software,gp_partners,,,15109,4.4,0,0,0,0,No information provided about the management depth.,true,true,true,Dallas,TX,true,true,,27,v5,14,23,11
Prolato Clinical Research Center,Clinical Research,gp_partners,20,11-50 employees,44,4.7,1,0,0,0,"The notes mention Sreedhar Mandayam, MD, MPH, MBA, but do not provide details about management depth or succession readiness.",true,false,true,Houston,TX,true,true,,43,v5,21,15,11
